latitude,longitude,crime_type,severity,timestamp,area_name
-26.212545988115263,28.01481063430709,burglary,high,2025-05-21,Johannesburg CBD
-26.154928569359008,28.043352075790267,theft,medium,2025-08-24,Johannesburg CBD
-26.17680060581886,28.069835666870112,burglary,high,2026-03-28,Johannesburg CBD
-26.190134151580295,28.058577990912763,carjacking,high,2025-02-16,Johannesburg CBD
-26.234398135955757,28.064524891828913,assault,medium,2025-03-25,Johannesburg CBD
-26.23440054796638,28.052702669336856,carjacking,low,2025-08-05,Johannesburg CBD
-26.24419163878318,28.055382125161426,assault,high,2025-04-03,Johannesburg CBD
-26.163382385422505,28.067935652125225,robbery,high,2026-05-14,Johannesburg CBD
-26.189888498825677,28.019973440708736,murder,medium,2026-02-15,Johannesburg CBD
-26.179192742220394,28.03915399709145,carjacking,high,2025-01-19,Johannesburg CBD
-26.24794155057042,28.01769675534557,burglary,medium,2025-06-26,Johannesburg CBD
-26.153009014783798,28.07901344063973,robbery,high,2025-08-29,Johannesburg CBD
-26.166755735919956,28.075524747174928,murder,low,2025-09-17,Johannesburg CBD
-26.228766088932172,28.00315414490948,burglary,high,2025-11-16,Johannesburg CBD
-26.231817503279288,28.056446013801253,theft,medium,2025-07-28,Johannesburg CBD
-26.231659549014655,28.07401986539325,burglary,medium,2025-10-18,Johannesburg CBD
-26.219575775704048,28.014446027610187,assault,low,2025-05-17,Johannesburg CBD
-26.197524356836777,28.04543561844421,assault,low,2025-03-04,Johannesburg CBD
-26.206805498135786,28.07323906380704,theft,medium,2025-02-26,Johannesburg CBD
-26.220877085980195,28.002715678286865,robbery,medium,2025-11-22,Johannesburg CBD
-26.18881471052776,28.055793621379745,murder,high,2026-01-23,Johannesburg CBD
-26.236050613934797,28.023787920589804,burglary,low,2026-01-14,Johannesburg CBD
-26.22078553514648,28.07395169563012,assault,medium,2025-12-18,Johannesburg CBD
-26.21336381567063,28.07768465961323,robbery,medium,2025-01-01,Johannesburg CBD
-26.204393001578296,28.075541319129073,theft,low,2025-03-15,Johannesburg CBD
-26.171482403860697,28.037937137332598,carjacking,low,2025-09-17,Johannesburg CBD
-26.230032621784165,28.068963412079142,assault,medium,2025-10-28,Johannesburg CBD
-26.19857655615864,28.067563951882804,theft,medium,2025-05-12,Johannesburg CBD
-26.190758543113795,28.02552803785946,burglary,medium,2025-09-26,Johannesburg CBD
-26.245354958728,28.066313237932054,murder,medium,2025-04-08,Johannesburg CBD
-26.189245514809855,28.00296061077724,assault,medium,2025-11-19,Johannesburg CBD
-26.23294758763127,28.047701590278564,assault,low,2025-09-01,Johannesburg CBD
-26.243494840701473,28.018400706983016,burglary,medium,2025-02-01,Johannesburg CBD
-26.155111446274667,28.009645350862183,carjacking,critical,2025-05-23,Johannesburg CBD
-26.153436796692542,28.006156256130335,robbery,medium,2026-02-01,Johannesburg CBD
-26.169160265188353,28.05570310207025,murder,high,2026-01-16,Johannesburg CBD
-26.219538623082663,28.027189997101445,assault,medium,2025-03-16,Johannesburg CBD
-26.24023278859936,28.0579813417223,murder,high,2025-01-25,Johannesburg CBD
-26.181576697348785,28.005228507263915,assault,high,2025-11-15,Johannesburg CBD
-26.20598475062604,28.025223227026448,murder,medium,2025-05-19,Johannesburg CBD
-26.237796176515523,28.043159303390027,theft,critical,2025-02-10,Johannesburg CBD
-26.20048230898887,28.063257853187114,assault,low,2025-09-20,Johannesburg CBD
-26.246561147888478,28.025500200234564,murder,low,2025-07-25,Johannesburg CBD
-26.15906795979212,28.05007131011496,robbery,high,2026-03-09,Johannesburg CBD
-26.224122001839998,28.070878219858894,theft,high,2025-12-13,Johannesburg CBD
-26.1837477715646,28.049269055054584,theft,low,2025-02-14,Johannesburg CBD
-26.21882889239106,28.01863675798029,robbery,medium,2026-02-23,Johannesburg CBD
-26.19799319788222,28.001952062524524,murder,low,2025-08-03,Johannesburg CBD
-26.19532897206567,28.069607909912072,burglary,medium,2025-04-08,Johannesburg CBD
-26.231514554447447,28.00170155286803,robbery,high,2026-04-11,Johannesburg CBD
-26.153041537223544,28.069976133814734,murder,medium,2026-03-25,Johannesburg CBD
-26.172486717663887,28.042314970722177,robbery,medium,2026-03-19,Johannesburg CBD
-26.15605010584358,28.07512541588103,robbery,medium,2026-02-21,Johannesburg CBD
-26.160517264957235,28.063902658861892,assault,low,2026-01-19,Johannesburg CBD
-26.190210002118892,28.079834728842666,murder,medium,2025-06-16,Johannesburg CBD
-26.157812576497687,28.028056945236138,burglary,high,2025-09-15,Johannesburg CBD
-26.24115074979481,28.06137506311449,assault,critical,2025-04-11,Johannesburg CBD
-26.230401713758084,28.032154473088738,robbery,high,2025-01-10,Johannesburg CBD
-26.245477271108946,28.03839004962431,carjacking,low,2025-01-12,Johannesburg CBD
-26.217466966923674,28.05020043705747,robbery,high,2025-12-18,Johannesburg CBD
-26.21113227103105,28.069894169134905,robbery,high,2025-04-17,Johannesburg CBD
-26.22286509682261,28.078726677535943,murder,high,2026-02-23,Johannesburg CBD
-26.167126249084806,28.06146187310916,murder,medium,2026-05-14,Johannesburg CBD
-26.21432466733064,28.033421342573387,assault,medium,2025-08-12,Johannesburg CBD
-26.22190654903126,28.033708560182166,burglary,medium,2026-02-09,Johannesburg CBD
-26.195730391684176,28.05900658412711,assault,low,2025-08-18,Johannesburg CBD
-26.235907577502523,28.019102171661462,theft,medium,2026-01-17,Johannesburg CBD
-26.169780301924593,28.00883792905051,robbery,medium,2025-03-03,Johannesburg CBD
-26.242544935632022,28.02836977261126,carjacking,medium,2025-11-25,Johannesburg CBD
-26.151311306339945,28.022979119332327,robbery,high,2026-02-26,Johannesburg CBD
-26.17277552307033,28.02370464963648,robbery,medium,2025-02-19,Johannesburg CBD
-26.230128431846584,28.018688620083992,assault,low,2026-03-03,Johannesburg CBD
-26.24944778828764,28.00336745517091,carjacking,critical,2025-02-09,Johannesburg CBD
-26.168453857154514,28.001429914778672,carjacking,critical,2025-12-14,Johannesburg CBD
-26.179314265615236,28.07901779117888,carjacking,high,2025-08-22,Johannesburg CBD
-26.1770992831959,28.034221850698867,assault,critical,2026-03-02,Johannesburg CBD
-26.172872965331404,28.030746131772773,robbery,medium,2025-10-19,Johannesburg CBD
-26.24259553482659,28.054371782615444,assault,critical,2025-06-16,Johannesburg CBD
-26.214153427145572,28.017460311029204,murder,low,2025-10-29,Johannesburg CBD
-26.238413094047488,28.075996894716017,murder,medium,2026-02-03,Johannesburg CBD
-26.16368965741244,28.062907601153242,assault,medium,2026-05-02,Johannesburg CBD
-26.187670187317245,28.007152880184982,carjacking,low,2025-09-07,Johannesburg CBD
-26.216910197514736,28.033406462062793,robbery,low,2026-03-15,Johannesburg CBD
